brand,product,link,product_description,image_link
KALINI,Embroidered Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-thread-work-straight-kurta--trousers-with-dupatta/27145830/buy,"Floral embroidered | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Thread work detail | Calf length with straight hem | Cotton blend machine weave fabric | Embroidered Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27145830/2024/1/23/16ac1c75-398b-4833-839e-b872b22e246b1706003575089KALINIWomenKurtaSets1.jpg"
Indo Era,Kurta With Trousers & Dupatta,https://www.myntra.com/kurta-sets/indo+era/indo-era-floral-embroidered-thread-work-a-line-kurta-with-trousers--dupatta/24838938/buy,"Floral embroidered | A-line shape | Regular style | V-neck, three-quarter regular sleeves | Thread work detail | Calf length length with straight hem | Silk blend machine weave fabric | Embroidered Trousers | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24838938/2023/9/7/eb08dc7c-2ee6-42b3-b268-2c69be504bfa1694025006164IndoEraWhiteEmbroideredA-LineKurtaTrousersWithDupattaSet1.jpg"
KALINI,Embroidered Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-regular-kurta-with-trousers--dupatta/25405732/buy,"Floral embroidered | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25405732/2023/10/9/286fd863-0275-4bac-ae1d-1f129edbc00a1696825687422KALINIWomenVioletEmbroideredStraightKurtawithTrouserDupatta1.jpg"
KALINI,Embroidered Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-embroidered-thread-work-detail-straight-kurta--trousers-with-dupatta/26271960/buy,"Ethnic motifs embroidered | Straight shape | Round neck, three-quarter regular sleeves | Thread work detail | Calf length with straight hem | Chanderi silk machine weave fabric | Solid Trousers | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26271960/2023/12/6/a272cab6-76a3-4faf-bdd3-07d1f7bfa77a1701849692186KurtaSets1.jpg"
KALINI,Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-women-floral-printed-regular-thread-work-pure-cotton-kurta-with-trousers--dupatta/28126112/buy,"Floral printed | Anarkali shape | Regular style | V-neck, three-quarter regular sleeves | Thread work detail | Calf length length with flared hem | Pure cotton machine weave fabric | Printed Trousers | Elasticated waistband | Slip-on closure | Printed dupatta","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28126112/2024/3/8/1319175e-7998-4ad2-95ec-b7807bab46511709870297228KurtaSets1.jpg"
KALINI,Printed Kurta with Trousers,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-straight-kurta-with-trousers/22519032/buy,"Floral printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Printed trousers | Elasticated waistband | Slip-on closure | 1 pocket","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22519032/2023/7/6/2a21321c-72f2-49ff-bce3-a053fb6bd40b1688642957265-KALINI-Floral-Printed-Straight-Kurta-with-Trousers-191688642-11.jpg"
anayna,Women Kurta with Palazzos With Dupatta,https://www.myntra.com/kurta-sets/anayna/anayna-women-black-ethnic-motifs-pure-cotton-kurta-with-palazzos--dupatta/17351572/buy,"Ethnic motifs solid | Straight shape | Regular style | V-neck, sleeveless no sleeves | Calf length with straight hem | Pure cotton machine weave fabric | Solid Palazzos | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17351572/2023/10/4/9fbfc88f-729f-4610-9608-c2d8da6e13561696406444832-anayna-Women-Black-Ethnic-Motifs-Pure-Cotton-Kurta-with-Pala-11.jpg"
KALINI,Ethnic Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-printed-kurta-with-trousers--dupatta/26630400/buy,"Straight shape | Regular style | V-neck, three-quarter regular sleeves | Calf length, straight hem | Cotton blend machine weave fabric | Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26630400/2023/12/23/af3e73d9-146d-4890-930d-44c4d930451d1703319430001KALINIWomenRedStraightPrintedKurtawithTrouserDupatta1.jpg"
KALINI,Floral Printed Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-regular-mirror-work-kurta-with-trousers--dupatta/25260144/buy,"Floral printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Mirror work detail | Calf length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25260144/2023/9/29/9c20f537-485c-4c9a-bb95-473c6e8d68371695972041179KALINIWomenNavyBlueFloralPrintedRegularMirrorWorkKurtawithTr1.jpg"
KALINI,Embroidered Regular Kurta,https://www.myntra.com/kurtas/kalini/kalini-floral-embroidered-thread-work-regular-kurta/24431446/buy,"Green and white floral embroidered straight kurta | Round neck, three-quarter, regular sleeves | Thread work detail | Machine weave regular cotton blend","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24431446/2023/8/10/fb51ddb6-fd20-4514-afc2-b33fa0e243701691641300354KALINIWomenGreenStraightFloralPrintedKurti1.jpg"
